score	ordklasse	lemma	definition	genprox	kollokation	hyper	ddo_bet	ddo_dannetsemid	ddo_entryid	dn_id
1	sb.	stik	knude der er slået på et enkelt stykke tov, og som bruges til at fastgøre tovet til en genstand	knude		{knude_1}	8	21079807	11050243	41930
1	sb.	stik	et insekts bid el. gennemboring af huden med en munddel el. en brod	bid		{bid,2_1}	1.a	21079808	11050243	11266
1	sb.	stik	kortvarig, lokal smerte i kroppen	smerte		{smerte,1_1}	1.b	21079809	11050243	14462
5	sb.	stik	kortvarig, ubehagelig fornemmelse der er frembragt af fx bedrøvelse el. misundelse	fornemmelse		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	1.c	21079810	11050243	14363
2	sb.	stik	ondskabsfuld hentydning der virker sårende	hentydning			1.d	21079811	11050243	
1	sb.	stik	sår på kroppen der er efterladt af et redskab el. et insekts bid	sår		"{sår_1; vunde_1}"	2	21079801	11050243	37512
1	sb.	stik	de kort der spilles i en enkelt runde af et kortspil, og som alle tilfalder en af spillerne, fx den der har spillet det højeste kort	kort		"{kort,1_3; spillekort_1}"	3	21079802	11050243	25224
1	sb.	stik	plasticgenstand for enden af en elektrisk ledning, forsynet med (to) ben af metal der kan sættes ind i en kontakt og derved tilslutte et elektrisk apparat til et ledningsnet el. til et andet elektrisk apparat	plasticgenstand			4	21079803	11050243	
1	sb.	stik	elektrisk kontakt der sidder i fx en væg og giver forbindelse til en lampe el. et elektrisk apparat eller til telefon, telefax, computer e.l.	kontakt		"{anordning_1; indretning_2}"	5	21079804	11050243	78007
20	vb.	stikke	føre noget i en vis retning, evt. gennem en åbning	føre			1	21079828	11050253	
2	vb.	stikke	sy med almindelige lige sting på maskine	sy		{sy_1}	2.f	21079842	11050253	44809
2	vb.	stikke	gravere, udskære	gravere			2.g	21079843	11050253	
2	vb.	stikke	skære af	skære		{skære_1}	2.h	21079844	11050253	43952
3	vb.	stikke	frembringe en fornemmelse som af små stik på huden	frembringe		{frembringe_1}	2.i	21079845	11050253	30570
3	vb.	stikke	gøre ondt el. forårsage andet ubehag i små stød	gøre		{gøre_2}	2.j	21079846	11050253	33092
4	vb.	stikke	gøre psykisk ondt	gøre			2.k	21079847	11050253	
2	vb.	stikke	udløse en pludselig og umotiveret indskydelse	udløse			2.l	21079848	11050253	
2	vb.	stikke	udstrække sig i en vis retning og derved være synlig el. fremtrædende	udstrække			3	21079830	11050253	
4	vb.	stikke	bevæge sig (hurtigt) et sted hen	bevæge		{bevæge_4_1: bevæge sig}	4	21079831	11050253	30228
1	vb.	stikke	sejle af sted med en båd	sejle		"{sejle_1; sejle_1_3; sejle_1_4}"	4.a	21079849	11050253	44666
3	vb.	stikke	give noget til nogen	give			1.a	21079835	11050253	
7	vb.	stikke	påbegynde en aktivitet	påbegynde			4.b	21079850	11050253	
2	vb.	stikke	hurtigt iføre sig sko el. tøj	iføre			4.c	21079851	11050253	
1	vb.	stikke	angive el. forråde nogen som har udført el. er ved at udføre en forbudt handling, til den myndighed der har med sådanne sager at gøre	angive		{angive_2}	5	21079832	11050253	73230
3	vb.	stikke	spille ud med et kort der overgår modstanderens kort i værdi, hvorved man sikrer sig et stik	spille		{spille,2_4}	6	21079833	11050253	45019
3	vb.	stikke	overgå, give igen på	overgå			6.a	21079852	11050253	
4	vb.	stikke	have en udstrækning ned til en vis dybde under vandoverfladen	have		{fylde,2_2}	7	21079834	11050253	32833
4	vb.	stikke	give nogen en meddelelse, fx et spørgsmål el. en besked	give		{meddele_1}	1.b	21079836	11050253	73761
3	vb.	stikke	få et spidst el. skarpt redskab til at bryde gennem en overflade	lade			2	21079829	11050253	2217
7	vb.	stikke	angribe med en kniv el. et andet skarpt våben	angribe			2.a	21079837	11050253	
2	vb.	stikke	føre sin brod ind i huden på et menneske el. et dyr for at suge blod el. sprøjte gift ind	føre			2.b	21079838	11050253	64730
2	vb.	stikke	ramme nogen med sin spids så vedkommende føler det ubehageligt på huden	ramme		{ramme,2_1}	2.c	21079839	11050253	45712
2	vb.	stikke	give en indsprøjtning, vaccinere	give			2.d	21079840	11050253	
1	vb.	stikke	spise uden at udvise appetit idet man skubber maden lidt rundt på tallerkenen og spiser den langsomt og i små bidder	spise		"{spise,2_1; æde,2_1}"	2.e	21079841	11050253	22820
20	sb.	stil	særligt præg el. helhed af særlige kendetegn som nogen el. noget har, fx mht. form, skikkelse, udformning, type, smag, fremgangsmåde el. metode	kendetegn		"{karakteristikon_1; kendetegn_1; varemærke_1_1}"	1	21079906	11050281	38267
8	sb.	stil	karakteristisk måde som et kunstværk, en bygning, et møbel, et musikstykke el. andet er udformet, indrettet el. fremført på, og som er typisk for en tidsperiode, en kunstner el. en retning	måde			2	21079907	11050281	48146
5	sb.	stil	elegant, imponerende, smukt el. harmonisk helhedspræg som noget el. nogen har fordi kvaliteten er høj, el. fordi de indgående elementer passer sammen el. står godt til hinanden	helhedspræg		{helhedspræg_0}	3	21079908	11050281	72578
1	sb.	stil	karakteristisk måde at udføre en sportsøvelse på som evt. er speciel for en bestemt person	måde		{måde_1}	4	21079909	11050281	72601
3	sb.	stil	mundtlig el. skriftlig fremstillingsform	fremstillingsform		{fremstillingsform_1}	5	21079910	11050281	72627
6	sb.	stil	(skole)opgave der, ofte på grundlag af et formuleret emne, har til formål at opøve eleven i skriftlig behandling af og fremstilling på et givet sprog	opgave		{opgave_2_1}	6	21079911	11050281	47919
2	sb.	stilk	tynd plantedel der bærer en blomst, et blad el. en frugt	plantedel		{plantedel_1}	1	21079945	11050305	42394
2	sb.	stilk	stængel på en blomsterplante	stængel		{stængel_1}	1.a	21079948	11050305	28448
1	sb.	stilk	stængel, bladstilk e.l. der bruges som madvare	stængel		{stængel_1}	1.b	21079949	11050305	28449
1	sb.	stilk	noget der ligner en stilk	lang		{form_2}	1.c	21079950	11050305	68043
1	sb.	stilk	tynd stang af glas der på fx et vinglas går fra foden op til selve glasset (kummen)	stang		{del_1}	2	21079946	11050305	24872
0	sb.	stilk	den (tynde, nedadvendte) del på fastsiddende, hvirvelløse havdyr der holder dem fast på havbunden	del		"{legemsdel_1; DN:kropsdel}"	3	21079947	11050305	68044
7	vb.	stille	få til at stå (opret) et bestemt sted	få		{placere_1}	1	21079960	11050313	44776
13	vb.	stille	præsentere for, konfrontere med	præsentere			5.a	21079972	11050313	
4	vb.	stille	præsentere el. udpege som deltager(e) i en kamp, konkurrence, debat e.l.	præsentere			6	21079965	11050313	
4	vb.	stille	(være klar til at) deltage i en sportskonkurrence e.l.	deltage			6.a	21079973	11050313	
14	vb.	stille	sætte i en bestemt tilstand el. situation	sætte			7	21079966	11050313	
5	vb.	stille	gøre, få til at være	gøre			7.a	21079974	11050313	
3	vb.	stille	skrue el. dreje på noget så det fungerer på en bestemt måde	skrue		{skrue,2_2}	8	21079967	11050313	42227
6	vb.	stille	fremlægge noget så alle kan se el. på anden måde blive opmærksom på det	fremlægge			1.a	21079968	11050313	
10	vb.	stille	sørge for at noget er til stede og kan benyttes	sørge		{sørge_2: sørge for}	2	21079961	11050313	43081
11	vb.	stille	formulere og fremsætte, rette til nogen	formulere			3	21079962	11050313	
5	vb.	stille	udarbejde efter forudgående undersøgelse el. analyse	udarbejde			3.a	21079969	11050313	
3	vb.	stille	komme el. møde op (med noget)	komme			4	21079963	11050313	
1	vb.	stille	(pligtskyldigt) møde op og afgive forklaring el. modtage kritik i en bestemt sag	møde			4.a	21079970	11050313	
6	vb.	stille	kræve at nogen afgiver forklaring el. påtager sig skylden i en sag	kræve			4.b	21079971	11050313	
7	vb.	stille	føre frem for en (dømmende) myndighed	føre			5	21079964	11050313	
3	vb.	stille	gøre svagere i styrke el. intensitet	gøre		"{forandre_1; lave,2_11: lave 'om; ændre_1}"	1	21079997	11050314	43267
8	vb.	stille	bringe til ophør ved at tilfredsstille	bringe			2	21079998	11050314	
8	adj.	stille	som kun laver lidt el. slet ingen lyd	lave			1	21079999	11050315	
11	adj.	stille	uden megen aktivitet, uro el. postyr	aktivitet			1.a	21080002	11050315	
1	adj.	stille	uden forstyrrelse el. afbrydelse	forstyrrelse			1.b	21080003	11050315	
6	adj.	stille	som er el. foregår stilfærdigt, moderat el. uden større opmærksomhed	stilfærdig			2	21080000	11050315	
6	adj.	stille	fåmælt, afdæmpet el. tilbageholdende af natur	tilbageholdende			2.a	21080004	11050315	
4	adj.	stille	som udtrykkes behersket, tilbageholdt el. underdrevet	behersket			2.b	21080005	11050315	
7	adj.	stille	som gælder el. er henvendt til én selv og derfor ikke udtrykkes åbenlyst	gælde			2.c	21080006	11050315	
6	adj.	stille	uden at bevæge sig (og frembringe lyd)	bevæge		"{beskaffenhed_1; egenskab_1; side_7_1}"	3	21080001	11050315	78070
5	adj.	stille	uden påvirkning fra vind el. strøm	påvirkning			3.a	21080007	11050315	
13	sb.	stilling	måde hvorpå nogen el. noget står, sidder el. er stillet	måde		"{stilling_1_2; tilstand_1}"	1	21080025	11050329	45417
2	sb.	stilling	en række genstandes placering i forhold til hinanden	placering			1.a	21080031	11050329	
2	sb.	stilling	tilstand el. forfatning som noget befinder sig i	tilstand		"{beskaffenhed_1; egenskab_1; side_7_1}"	1.b	21080032	11050329	21809
9	sb.	stilling	nogens position el. situation i samfundet el. i forhold til andre grupper el. personer	position		{position_2}	2	21080026	11050329	45408
6	sb.	stilling	måde hvorpå nogen forholder sig til et bestemt spørgsmål, standpunkt, holdning	måde		"{holdning_1; position_3; synspunkt_1}"	3	21080027	11050329	67598
20	sb.	stilling	lønnet, fast el. tidsbegrænset ansættelse hos en arbejdsgiver	ansættelse		{ansættelse_1}	4	21080028	11050329	32171
4	sb.	stilling	militær opstilling af tropper el. våben et bestemt sted	opstilling		{militærstyrke_1}	5	21080029	11050329	67599
1	sb.	stilling	antal mål, point e.l. som parterne i en sportskamp el. en konkurrence har opnået på et givet tidspunkt under deres opgør	mål		"{mål,1_4_1; måleenhed_1}"	6	21080030	11050329	64349
3	sb.	stilling	nogle konkurrenters indbyrdes placering i en rangorden	placering			6.a	21080033	11050329	
4	sb.	sting	den del af en tråd der i en syning er afgrænset af to nålestik, dvs. går mellem de huller hvor tråden føres gennem stoffet (el. hvor overtråden krydser undertråden)	del		{del_1}	1	21080079	11050358	41227
1	sb.	sting	det at nålen under syning føres gennem stoffet og danner en sådan afgrænset del af sømmen	føre			1.a	21080081	11050358	74837
0	sb.	sting	særlig kombination af sting, brugt ved broderi	kombination		{sting_1}	1.b	21080082	11050358	59278
7	sb.	sting	lille stykke (nylon)tråd der holder siderne i en flænge, et operationssår e.l. sammen mens såret heler	stykke		{tråd,1_1}	1.c	21080083	11050358	14540
2	sb.	sting	stikkende smerte i form af et el. flere jag	smerte		{smerte,1_1}	2	21080080	11050358	14463
15	vb.	stirre	have sit blik rettet direkte og intenst mod nogen el. noget, fx som udtryk for forbavselse, nysgerrighed el. fascination	have			1	21080101	11050371	78444
10	vb.	stirre	se passivt, se uden at betragte noget bestemt	se		{se_1}	1.a	21080102	11050371	43496
3	vb.	stivne	blive stiv el. stivere, overgå fra flydende til fast form	stiv			1	21080137	11050384	
6	vb.	stivne	standse brat op midt i en bevægelse, blive stiv	standse		{standse_1}	1.a	21080138	11050384	50031
2	vb.	stivne	miste evnen til at forandres og tilpasse sig	miste			1.b	21080139	11050384	
2	vb.	stivne	miste sin livfuldhed og blive mere overfladisk el. intetsigende	miste			1.c	21080140	11050384	
5	sb.	stjerne	kugleformet, lysende himmellegeme bestående af brændende gasser, især brint og helium	himmellegeme		{himmellegeme_1}	1	21080144	11050389	26947
5	sb.	stjerne	et sådant himmellegeme som genstand for astrologers interesse og beskæftigelse	himmellegeme		{tegn_1}	1.a	21080147	11050389	37525
2	sb.	stjerne	person der udmærker sig ved at være én af de bedste el. mest kendte på et bestemt område, fx sport el. underholdning	person		"{hoved_3; individ_1; mand_3; menneske_1_1; person_1; m/k'er_0}"	2	21080145	11050389	6229
1	sb.	stjerne	den fineste el. mest værdifulde genstand e.l., fx i en samling	genstand		"{kostbarhed_1; værdi_1_1; værdigenstand_1}"	2.a	21080148	11050389	15657
2	sb.	stjerne	genstand, symbol m.m. i form af en stiliseret gengivelse af himmellegemet stjerne, ofte med fem el. flere spidser	genstand		"{figur_3};{figur_6}"	3	21080146	11050389	15767
1	sb.	stjerne	symbol, genstand m.m. der markerer el. er udtryk for kvalitet, udmærkelse e.l.	symbol		{symbol_1}	3.a	21080149	11050389	8721
1	sb.	stjerne	lys, stjerneformet plet på et dyr, ofte i panden	plet		{plet,1_1}	3.b	21080150	11050389	57369
3	sb.	stjernetegn	(symbol for) hver af de tolv perioder som man i astrologi inddeler året i	periode		{symbol_1}	1	21080178	11050407	48271
1	sb.	stjernetegn	hver af de tolv dele på stjernehimlen som svarer til dyrekredsens inddeling	del		{tegn_2}	1.a	21080179	11050407	41226
2	sb.	stjernetegn	tekst der forudsiger fremtiden for personer født inden for en bestemt af de tolv perioder	tekst		"{tekst_1; tekst_2}"	1.b	21080180	11050407	7863
13	sb.	stof	kemisk forbindelse el. blanding af kemiske forbindelser med bestemte egenskaber	forbindelse		"{masse_4; stof_1_2}"	1	21080200	11050424	10857
13	sb.	stof	kemisk forbindelse med euforiserende el. præstationsfremmende virkning	forbindelse		{middel,1_2}	1.a	21080204	11050424	64733
2	sb.	stof	masse, substans e.l. med bestemte egenskaber	masse		{DN:1stOrder}	1.b	21080205	11050424	21251
2	sb.	stof	noget materielt og fysisk rumudfyldende	noget		{masse_2}	2	21080201	11050424	75068
2	sb.	stof	(samling af) viden, ideer el. forestillinger som danner udgangspunkt for tankemæssig virksomhed el. for udarbejdelsen af en skriftlig el. mundtlig fremstilling eller af et kunstværk	viden		{viden,1_1}	3	21080202	11050424	37615
4	sb.	stof	viden, emner, oplysninger e.l. som danner udgangspunkt for el. indgår i en journalistisk fremstilling el. en anden form for formidling	viden		{viden,1_1}	3.a	21080206	11050424	37616
1	sb.	stof	afgrænset samling af viden el. oplysninger som nogen skal tilegne sig og evt. gøre rede for, fx ved en eksamen	viden		{viden,1_1}	3.b	21080207	11050424	37617
1	sb.	stof	en persons grundlæggende egenskaber el. træk, et fænomens kerne el. grundelement	egenskab		"{beskaffenhed_1; egenskab_1; side_7_1}"	3.c	21080208	11050424	21690
7	sb.	stof	blødt materiale som består af sammenvævede tråde af naturfibre, fx uld, bomuld el. silke, el. syntetiske fibre, fx nylon el. polyester	materiale		{materiale_1}	4	21080203	11050424	10735
4	sb.	stok	lang, tynd genstand af træ el. metal, ofte med håndtag el. knap, der holdes i hånden og bruges som støtte ved gang, fx i ujævnt terræn el. af gangbesværede	genstand		{redskab_1}	1	21080229	11050437	15769
1	sb.	stok	særligt gangredskab for blinde og svagtseende til orientering for vedkommende, fx opdagelse af forhindringer i terrænet	gangredskab		{hjælpemiddel_1}	1.a	21080234	11050437	59670
3	sb.	stok	aflang genstand brugt til at prygle el. slå nogen med	genstand		{slagvåben_1}	2	21080230	11050437	15770
3	sb.	stok	aflang, bearbejdet genstand med rundt tværsnit, ofte af træ	genstand		{træstykke_1}	3	21080231	11050437	15771
2	sb.	stok	tyk stængel der bærer en plante, fx en svamp el. et kålhoved	stængel		{stængel_1}	4	21080232	11050437	28450
4	sb.	stok	gruppe af personer der ikke skiftes ud el. falder fra	gruppe		"{gruppe_1; samling_3}"	5	21080233	11050437	5708
18	sb.	stol	siddemøbel med plads til én person, ofte med fire ben, ryglæn og evt. armlæn	siddemøbel		{siddemøbel_1}	1	21080248	11050447	2055
2	sb.	stol	embede, post	embede		"{embede_1; plads_7}"	1.a	21080250	11050447	38182
8	adj.	stolt	glad for og tilfreds med en bedrift, formåen, genstand e.l. som man direkte el. indirekte er (el. føler at være) anledning til el. i besiddelse af	glad		{glad_1}	1	21080273	11050458	74132
3	adj.	stolt	som fremkalder el. vidner om denne følelse	fremkalde			1.a	21080276	11050458	
2	adj.	stolt	med præg af at være storslået, statelig, imponerende el. flot	storslået		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21080274	11050458	74142
3	adj.	stolt	som kender el. har en stærk fornemmelse af sit eget værd, som sætter sit personlige omdømme og sin værdighed højt	fornemmelse			3	21080275	11050458	
9	sb.	stolthed	glæde over og tilfredshed med en bedrift, formåen, genstand e.l. som man direkte el. indirekte er (el. føler at være) anledning til el. i besiddelse af	glæde		{glæde,1_1}	1	21080278	11050459	14406
1	sb.	stolthed	genstand, person el. præstation som man er stolt af	genstand		"{effekt_3; genstand_1; ting,1_1}"	1.a	21080280	11050459	15772
3	sb.	stolthed	(overdreven) optagethed af sit personlige omdømme og sin værdighed, (stærk) følelse af eget værd	omdømme		"{fornemmelse_1_2; følelse_1; sindsstemning_1}"	2	21080279	11050459	70170
3	sb.	stop	det at kørsel, gang el. anden form for retningsbestemt bevægelse (midlertidig) afbrydes el. bringes til standsning	kørsel		{handling_1}	1	21080283	11050462	67600
0	sb.	stop	skilletegn el. ophold mellem to sætninger i et telegram	ophold			6	21080288	11050462	
8	sb.	stop	kort ophold, fx på en rejse, en tur el. en fastlagt rute	ophold			1.a	21080289	11050462	
1	sb.	stop	sted hvor man gør et ophold på en rejse, en tur el. en bestemt rute	sted		"{opholdssted_1; tilhold_2_1; tilholdssted_1}"	1.b	21080290	11050462	7167
2	sb.	stop	hindring i et planlagt forløb	hindring			1.c	21080291	11050462	
11	sb.	stop	(midlertidig) afbrydelse el. indstilling af en proces, en aktivitet el. et forløb	afbrydelse			2	21080284	11050462	65186
1	sb.	stop	det at en motor, en maskine el. en fysisk proces afbrydes el. går i stå	afbryde			3	21080285	11050462	65182
3	sb.	stop	knap el. funktion på en maskine el. et apparat der bevirker at en igangværende proces holder op	knap			3.a	21080292	11050462	
2	sb.	stop	genstand el. anordning der forhindrer noget i at bevæge sig	genstand		"{anordning_1; indretning_2}"	4	21080286	11050462	15773
2	sb.	stop	ytring, signal el. tegn der påbyder at noget el. nogen bør afbrydes el. holde op	ytring			5	21080287	11050462	21571
14	vb.	stoppe	(uventet el. pludseligt) afbryde kørsel, gang el. anden form for bevægelse fremad	afbryde		"{gøre_1; handle_1}"	1	21080321	11050477	44373
2	vb.	stoppe	have sin udstrækning til et bestemt punkt	have			4	21080324	11050477	
2	vb.	stoppe	afbryde sin bevægelse fremad	afbryde			1.a	21080325	11050477	
6	vb.	stoppe	gøre et ophold et bestemt sted på en rute, en tur el. en rejse	gøre		"{gøre_1; handle_1}"	1.b	21080326	11050477	33185
2	vb.	stoppe	besejre en modstander i boksning vha. knockout	besejre		{besejre_1}	1.c	21080327	11050477	64460
23	vb.	stoppe	(effektivt) forhindre nogen el. noget i at udfolde sig, virke el. fungere, indstille en aktivitet, et foretagende e.l.	forhindre		{forhindre_1}	2	21080322	11050477	44072
4	vb.	stoppe	(midlertidig) ophøre med at virke, udfolde sig el. komme til udtryk	ophøre		{ophøre_1}	2.a	21080328	11050477	30865
7	vb.	stoppe	bruges i udtryk hvor man protesterer mod en andens adfærd, ytring, idé e.l.	protestere			2.b	21080329	11050477	
2	vb.	stoppe	afbryde en motor, en maskine el. et apparat, få en fysisk proces til at gå i stå	afbryde			3	21080323	11050477	
2	vb.	stoppe	standse, gå i stå	standse			3.a	21080330	11050477	
9	vb.	stoppe	(uordentligt el. med besvær) anbringe noget i et hul, på en begrænset plads e.l.	anbringe		{anbringe_1}	1	21080334	11050478	27603
2	vb.	stoppe	reparere en strømpe el. et andet stykke tøj der er gået hul på, ved at føre stoppenål og garn op og ned mellem udspændte tråde så der over hullet dannes en lille vævning	reparere		"{reparere_1; udbedre_1}"	4	21080337	11050478	71022
2	vb.	stoppe	fylde et hulrum el. en beholder med et materiale el. andet	fylde		{fylde,2_1}	1.a	21080338	11050478	43929
1	vb.	stoppe	anbringe noget (uønsket) på et (tænkt) sted	anbringe		{anbringe_1}	1.b	21080339	11050478	27604
5	vb.	stoppe	fylde tobak i en pibe	fylde		{fylde,2_1}	1.c	21080340	11050478	2255
3	vb.	stoppe	fylde til bristepunktet	fylde		{fylde,2_1}	2	21080335	11050478	43928
2	vb.	stoppe	anbringe i stor mængde på et for lille el. trangt sted	anbringe		{anbringe_1}	2.a	21080341	11050478	27605
2	vb.	stoppe	lukke for en (smal) passage, lukke et hul	lukke		{lukke,2_1}	3	21080336	11050478	43337
2	vb.	stoppe	blive lukket for gennemgang el. gennemstrømning pga. ophobning af væske, affald el. andet	blive		"{blive_3; DN:ændre sig}"	3.a	21080342	11050478	46190
2	vb.	stoppe	virke hæmmende på fordøjelsen	virke			3.b	21080343	11050478	
7	adj.	stor	som fysisk fylder meget, som har en betydelig rumlig udstrækning	fylde		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21080357	11050486	29165
9	adj.	stor	som vækker beundring, anerkendelse, opmærksomhed el. opsigt, fx gennem dygtighed, talent, værdifulde menneskelige egenskaber, høj kvalitet el. væsentlighed	vække			4	21080360	11050486	
4	adj.	stor	som udviser el. vidner om storsind	storsind			4.a	21080368	11050486	
3	adj.	stor	placeret i den øverste del af et hierarki, system e.l.	placere			4.b	21080369	11050486	
2	adj.	stor	som ikke længere er el. opfører sig som et lille barn	barn			5	21080361	11050486	
7	adj.	stor	voksen	voksen			5.a	21080370	11050486	
3	adj.	stor	som strækker sig langt el. vidt, som dækker et udstrakt areal	strække			1.a	21080362	11050486	
3	adj.	stor	som kan rumme meget	rumme			1.b	21080363	11050486	
12	adj.	stor	som omfatter mange enheder, individer, dele e.l.	omfatte		"{beskaffenhed_1; egenskab_1; side_7_1}"	2	21080358	11050486	78240
7	adj.	stor	som befinder sig i den øvre ende af en (tal)skala	befinde			2.a	21080364	11050486	
4	adj.	stor	som udgør el. repræsenterer meget i (pengemæssig) værdi	udgøre			2.b	21080365	11050486	
10	adj.	stor	som involverer el. kræver meget, fx mht. arbejdsindsats el. resurser	involvere			2.c	21080366	11050486	
26	adj.	stor	med megen kraft, styrke el. intensitet, som i høj grad el. tydeligt forekommer el. er til stede	kraft			3	21080359	11050486	
2	adj.	stor	meget, i høj grad	meget			3.a	21080367	11050486	
5	sb.	storm	(voldsomt uvejr med) meget stærk blæst	blæst		"{blæsevejr_1; blæst,1_1};{uvejr_1}"	1	21080448	11050546	28361
3	sb.	storm	vindstyrke 10-11 på Beauforts skala	vindstyrke		"{vejr_1; DN:vejrfænomen}"	1.a	21080450	11050546	50027
1	sb.	storm	stærkt røre, voldsom uro, strid el. debat	røre			1.b	21080451	11050546	
2	sb.	storm	militært angreb med soldater (i løb) mod en befæstet stilling	angreb		{angreb_1}	2	21080449	11050546	65201
1	sb.	storm	voldsomt, kritisk angreb på en person, en institution e.l.	angreb			2.a	21080452	11050546	65218
2	vb.	storme	blæse meget voldsomt	blæse		{blæse_1}	1	21080468	11050553	63871
3	vb.	storme	løbe el. på anden måde bevæge sig meget hurtigt	løbe		{løbe,2_1}	1.a	21080470	11050553	44458
3	vb.	storme	få hurtig udbredelse el. fremgang	få			1.b	21080471	11050553	
4	vb.	storme	være lidenskabelig, voldsom el. højlydt	være			1.c	21080472	11050553	
2	vb.	storme	rette et angreb mod en fjendtlig stilling med et stort antal soldater	rette			2	21080469	11050553	50028
1	vb.	storme	med magt trænge ind i, som regel hurtigt og overraskende	trænge		{trænge_2}	2.a	21080473	11050553	45779
1	vb.	storme	strømme til i stor mængde for at opnå noget	strømme			2.b	21080474	11050553	
4	sb.	straf	ubehagelig handling el. tilstand som man udsætter nogen for til gengæld for en forsyndelse som vedkommende har gjort sig skyldig i	handling		{behandling_3}	1	21080556	11050618	25435
13	sb.	straf	foranstaltning som et samfund el. en organisation anvender over for nogen der har begået en ulovlig handling	foranstaltning		"{dom,1_1; judicium_1}"	1.a	21080557	11050618	25808
3	sb.	straf	(fremkaldelse af) ubehagelighed som følge af nogens handlinger el. livsførelse	ubehagelighed			1.b	21080558	11050618	
4	vb.	straffe	udsætte nogen for en ubehagelig handling el. tilstand til gengæld for en forsyndelse som vedkommende har gjort sig skyldig i	udsætte		"{gøre_1; handle_1}"	1	21080565	11050626	63872
10	vb.	straffe	idømme fængsling, bøde e.l. for begåelse af en ulovlig handling	idømme		{dømme_1}	1.a	21080566	11050626	75263
4	vb.	straffe	fremkalde ubehageligheder for nogen fordi vedkommende har udført en bestemt (forkert) handling	fremkalde		{opføre_4: opføre sig}	1.b	21080567	11050626	75267
3	adj.	stram	som er strakt, trukket el. spændt så hårdt at der ikke er løse folder el. bugter, el. at overfladen er flad og fast	strække		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21080611	11050662	78046
10	adj.	stram	som slutter meget tæt om noget	slutte			1.a	21080615	11050662	
1	adj.	stram	som sidder el. har noget siddende så tæt og fast at bevægelse vanskeliggøres	sidde			1.b	21080616	11050662	
3	adj.	stram	spændt, spændstig og muskuløs	spændt			2	21080612	11050662	
4	adj.	stram	som ikke er afslappet, og som derved udtrykker fx vrede el. misfornøjelse	afslappet			2.a	21080617	11050662	
1	adj.	stram	meget stiv el. rank	stiv			2.b	21080618	11050662	
12	adj.	stram	som (næsten) ikke giver mulighed for ændringer, afvigelser, udsving, undtagelser m.m.	give			3	21080613	11050662	
2	adj.	stram	kraftig og ubehagelig	kraftig		{kraftig_4}	4	21080614	11050662	71191
3	vb.	stramme	strække, trække el. spænde noget og derved gøre det stramt el. strammere eller få det til at sidde mere fast, mere tæt e.l.	strække		"{bevæge_1; movere_1}"	1	21080621	11050664	47343
2	vb.	stramme	slutte (for) tæt el. fast om noget el. nogen	slutte			1.a	21080624	11050664	
2	vb.	stramme	spænde el. styrke muskler, fx sådan at ansigtsudtrykket ændres	spænde			2	21080622	11050664	
3	vb.	stramme	blive strammere el. mere spændt	stram		{blive_2}	2.a	21080625	11050664	48833
2	vb.	stramme	forandre så der (næsten) ikke gives mulighed for afvigelser, udsving, undtagelser m.m.	forandre			3	21080623	11050664	
7	sb.	strategi	overordnet, langsigtet planlægning der især tager hensyn til endemålet	planlægning		{planlægning_1}	1	21080669	11050694	28346
5	sb.	strategi	overordnet (politisk) plan for hvordan militæret skal føre krig	plan		{plan,1_1}	1.a	21080671	11050694	27252
2	sb.	strategi	fremgangsmåde, metode	fremgangsmåde		{fremgangsmåde_1}	2	21080670	11050694	56531
8	adj.	strategisk	vedr. (en) strategi	strategi		"{beskaffenhed_1; egenskab_1; side_7_1}"	1	21080672	11050695	78068
8	adj.	strategisk	vedr. den overordnede plan for krigsførelse	plan			1.a	21080675	11050695	
2	adj.	strategisk	vigtig el. central i en sammenhæng	vigtig		{vigtig_1}	2	21080673	11050695	46727
6	adj.	strategisk	som er i overensstemmelse med en god strategi el. en fornuftig planlægning	overensstemmelse			3	21080674	11050695	
2	vb.	strejfe	ramme overfladisk, berøre let i forbifarten	ramme		{ramme,2_1}	1	21080718	11050714	45713
3	vb.	strejfe	berøre let el. kortvarigt	berøre			1.a	21080720	11050714	
2	vb.	strejfe	(kortvarigt) træde frem i bevidstheden	træde			1.b	21080721	11050714	
2	vb.	strejfe	omtale el. behandle overfladisk og kortfattet	omtale		{omtale,2_1}	1.c	21080722	11050714	31040
2	vb.	strejfe	bevæge sig fra sted til sted uden et bestemt mål	bevæge		{bevæge_4_1: bevæge sig}	2	21080719	11050714	30232
1	sb.	stress	psykisk og fysisk anspændthed forårsaget af et for stort tids- el. arbejdspres	anspændthed		"{helbred_1; konstitution_1; tilstand_1_2; helbredstilstand_0}"	1	21080772	11050736	72094
3	sb.	stress	det at have meget travlt	have			1.a	21080773	11050736	
1	sb.	stress	ydre påvirkning der fremkalder anspændthed	påvirkning		"{helbred_1; konstitution_1; tilstand_1_2; helbredstilstand_0}"	1.b	21080774	11050736	74704
0	sb.	stress	naturlig forsvarsmekanisme der aktiveres i kroppen ved legemlig el. psykisk belastning, især i kraft af at produktionen af hormoner (stresshormoner) i binyrerne øges	forsvarsmekanisme			1.c	21080775	11050736	
